Shop_Name,Location,Date,Product_Type,Brand,Quantity_Sold,Unit_Price,Payment_Mode,Customer_Age
Teja Wines – Kothapatnam,Kothapatnam,2025-07-09,Brandy,McDowell's,3.0,500,,20.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-12-29,Vodka,Smirnoff,5.0,180,Card,39.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-09-25,Brandy,Royal Stag,20.0,180,Cash,25.0
Teja Wines – Kothapatnam,Kothapatnam,2025-09-30,Brandy,McDowell's,2.0,300,,53.0
Teja Wines – Kothapatnam,Kothapatnam,2025-10-04,Wine,Kingfisher,1.0,300,Cash,38.0
Teja Wines – Ongole,Ongole,2025-10-10,Rum,Kingfisher,20.0,150,Cash,20.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-10-11,Rum,Kingfisher,,300,,40.0
Teja Wines – Ongole,Ongole,2025-09-02,Rum,Smirnoff,20.0,500,,63.0
Teja Wines – Ongole,Ongole,2025-09-25,Wine,Smirnoff,1.0,220,UPI,
Teja Wines – Kothapatnam,Kothapatnam,2025-07-27,Brandy,McDowell's,20.0,90,Card,35.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-08-12,Rum,Signature,20.0,150,Card,43.0
Teja Wines – Kothapatnam,Kothapatnam,2025-09-15,Whisky,Kingfisher,5.0,1000,UPI,48.0
Teja Wines – SN Padu,SN Padu,2025-07-24,Beer,Signature,20.0,750,,22.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-11-22,Wine,McDowell's,3.0,220,UPI,35.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-10-31,Brandy,Signature,3.0,1000,Cash,51.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-09-16,Beer,Kingfisher,2.0,180,Card,19.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-11-19,Rum,Kingfisher,2.0,500,,35.0
Teja Wines – Ongole,Ongole,2025-09-10,Rum,Kingfisher,2.0,750,Cash,30.0
Teja Wines – Kothapatnam,Kothapatnam,2025-10-01,Wine,McDowell's,3.0,1000,Card,26.0
Teja Wines – Kothapatnam,Kothapatnam,2025-10-29,Whisky,Royal Stag,2.0,500,UPI,26.0
Teja Wines – Ongole,Ongole,2025-07-31,Brandy,Signature,20.0,500,UPI,53.0
Teja Wines – Kothapatnam,Kothapatnam,2025-09-27,Beer,Kingfisher,2.0,500,UPI,57.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-08-22,Brandy,Royal Stag,3.0,120,Cash,55.0
Teja Wines – Ongole,Ongole,2025-09-06,Beer,Kingfisher,10.0,220,,29.0
Teja Wines – SN Padu,SN Padu,2025-08-10,Beer,Smirnoff,1.0,90,,45.0
Teja Wines – Kothapatnam,Kothapatnam,2025-09-12,Beer,Smirnoff,3.0,180,Cash,28.0
Teja Wines – SN Padu,SN Padu,2025-11-01,Beer,Kingfisher,4.0,90,Card,47.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-08-23,Vodka,Bacardi,4.0,120,UPI,61.0
Teja Wines – Ongole,Ongole,2025-11-13,Beer,Bacardi,20.0,750,Cash,50.0
Teja Wines – Ongole,Ongole,2025-08-15,Beer,Smirnoff,2.0,300,UPI,41.0
Teja Wines – Kothapatnam,Kothapatnam,2025-12-13,Vodka,,20.0,1000,,18.0
Teja Wines – Ongole,Ongole,2025-12-23,Brandy,,10.0,500,,39.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-11-04,Beer,Kingfisher,5.0,120,Card,62.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-10-17,Rum,,20.0,500,,34.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-10-31,Rum,Royal Stag,,1000,Card,64.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-10-17,Vodka,McDowell's,1.0,180,,37.0
Teja Wines – Kothapatnam,Kothapatnam,2025-10-14,Rum,Smirnoff,20.0,180,,62.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-08-28,Beer,Bacardi,10.0,180,UPI,29.0
Teja Wines – Kothapatnam,Kothapatnam,2025-08-25,Beer,Signature,4.0,750,UPI,64.0
Teja Wines – Kothapatnam,Kothapatnam,2025-09-29,Rum,Smirnoff,1.0,90,Cash,50.0
Teja Wines – Ongole,Ongole,2025-07-22,Vodka,Smirnoff,20.0,90,Card,25.0
Teja Wines – SN Padu,SN Padu,2025-07-31,Wine,Smirnoff,10.0,120,UPI,23.0
Teja Wines – SN Padu,SN Padu,2025-09-02,Beer,Bacardi,,150,Card,57.0
Teja Wines – SN Padu,SN Padu,2025-09-04,Rum,Signature,10.0,90,Cash,33.0
Teja Wines – SN Padu,SN Padu,2025-12-02,Brandy,Kingfisher,1.0,220,Card,25.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-11-16,Vodka,McDowell's,1.0,500,Cash,48.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-11-15,Brandy,Royal Stag,3.0,1000,Card,43.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-10-15,Wine,Signature,4.0,500,,28.0
Teja Wines – Ongole,Ongole,2025-07-18,Brandy,Kingfisher,,150,Card,50.0
Teja Wines – Kothapatnam,Kothapatnam,2025-09-15,Brandy,Signature,4.0,220,UPI,46.0
Teja Wines – Ongole,Ongole,2025-08-30,Brandy,,2.0,90,Card,55.0
Teja Wines – SN Padu,SN Padu,2025-08-10,Vodka,Bacardi,,220,Card,44.0
Teja Wines – Ongole,Ongole,2025-07-05,Vodka,McDowell's,3.0,150,Card,28.0
Teja Wines – SN Padu,SN Padu,2025-10-16,Wine,Royal Stag,3.0,300,UPI,34.0
Teja Wines – SN Padu,SN Padu,2025-10-07,Rum,Kingfisher,10.0,90,,38.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-07-30,Beer,Royal Stag,5.0,180,Cash,
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-11-10,Beer,,4.0,750,Cash,61.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-11-18,Brandy,Signature,,220,UPI,36.0
Teja Wines – SN Padu,SN Padu,2025-09-11,Whisky,,10.0,90,Cash,32.0
Teja Wines – Ongole,Ongole,2025-10-20,Whisky,Bacardi,20.0,300,UPI,27.0
Teja Wines – Kothapatnam,Kothapatnam,2025-09-19,Brandy,Royal Stag,5.0,1000,Card,39.0
Teja Wines – SN Padu,SN Padu,2025-08-06,Rum,Royal Stag,5.0,750,Cash,41.0
Teja Wines – Kothapatnam,Kothapatnam,2025-07-31,Brandy,Bacardi,5.0,180,,40.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-12-12,Wine,Bacardi,3.0,220,Cash,41.0
Teja Wines – Ongole,Ongole,2025-10-09,Wine,Signature,3.0,150,UPI,46.0
Teja Wines – Kothapatnam,Kothapatnam,2025-09-14,Vodka,McDowell's,4.0,1000,,49.0
Teja Wines – SN Padu,SN Padu,2025-10-09,Rum,Smirnoff,3.0,90,UPI,43.0
Teja Wines – Ongole,Ongole,2025-10-05,Wine,Bacardi,3.0,1000,,90.0
Teja Wines – Ongole,Ongole,2025-11-29,Whisky,Signature,,120,Cash,21.0
Teja Wines – Kothapatnam,Kothapatnam,2025-10-29,Rum,Signature,10.0,90,Cash,58.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-08-16,Rum,Kingfisher,1.0,220,,60.0
Teja Wines – SN Padu,SN Padu,2025-09-07,Whisky,Smirnoff,1.0,300,Cash,36.0
Teja Wines – Ongole,Ongole,2025-12-25,Brandy,Bacardi,5.0,180,Card,20.0
Teja Wines – Ongole,Ongole,2025-08-12,Rum,Bacardi,,1000,Cash,22.0
Teja Wines – Kothapatnam,Kothapatnam,2025-09-08,Brandy,Smirnoff,10.0,90,Card,47.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-10-19,Vodka,Royal Stag,10.0,750,Card,47.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-10-26,Vodka,Bacardi,,90,,31.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-07-30,Rum,Kingfisher,5.0,180,,38.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-10-04,Beer,Signature,5.0,150,Cash,39.0
Teja Wines – SN Padu,SN Padu,2025-07-20,Beer,McDowell's,1.0,150,Card,30.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-11-05,Brandy,,3.0,150,UPI,58.0
Teja Wines – Ongole,Ongole,2025-12-04,Rum,Bacardi,,90,Cash,20.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-08-01,Wine,Smirnoff,1.0,150,Cash,18.0
Teja Wines – Kothapatnam,Kothapatnam,2025-08-26,Brandy,McDowell's,4.0,1000,Cash,60.0
Teja Wines – SN Padu,SN Padu,2025-07-04,Brandy,Smirnoff,3.0,500,Card,21.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-10-16,Beer,Bacardi,20.0,150,Card,33.0
Teja Wines – SN Padu,SN Padu,2025-08-12,Beer,McDowell's,5.0,180,,53.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-09-07,Beer,,3.0,90,UPI,42.0
Teja Wines – Ongole,Ongole,2025-10-18,Brandy,Kingfisher,,120,,28.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-08-27,Whisky,Smirnoff,5.0,180,,54.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-07-31,Wine,McDowell's,1.0,220,,50.0
Teja Wines – Ongole,Ongole,2025-07-01,Vodka,Smirnoff,,750,,30.0
Teja Wines – Ongole,Ongole,2025-12-20,Brandy,,3.0,120,,42.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-10-11,Wine,Signature,1.0,90,Cash,55.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-07-20,Wine,Kingfisher,2.0,120,,58.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-11-25,Beer,McDowell's,2.0,180,Cash,44.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-11-15,Beer,Signature,10.0,150,Cash,18.0
Teja Wines – Kothapatnam,Kothapatnam,2025-12-12,Wine,Smirnoff,3.0,500,Card,32.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-12-17,Beer,Signature,5.0,120,Card,24.0
Teja Wines – Kothapatnam,Kothapatnam,2025-10-07,Beer,Royal Stag,10.0,120,,60.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-08-02,Rum,Kingfisher,10.0,180,,21.0
Teja Wines – SN Padu,SN Padu,2025-12-01,Whisky,McDowell's,1.0,750,Cash,24.0
Teja Wines – SN Padu,SN Padu,2025-10-01,Vodka,Smirnoff,5.0,1000,Cash,29.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-10-20,Wine,Royal Stag,5.0,90,,31.0
Teja Wines – SN Padu,SN Padu,2025-08-19,Rum,Royal Stag,20.0,180,,27.0
Teja Wines – Ongole,Ongole,2025-07-16,Whisky,Signature,20.0,90,UPI,56.0
Teja Wines – SN Padu,SN Padu,2025-07-16,Whisky,Kingfisher,3.0,120,Card,30.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-11-14,Whisky,McDowell's,3.0,750,Card,40.0
Teja Wines – Kothapatnam,Kothapatnam,2025-07-17,Beer,Bacardi,1.0,220,Card,54.0
Teja Wines – SN Padu,SN Padu,2025-10-10,Vodka,Smirnoff,,750,Cash,45.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-11-27,Rum,Signature,4.0,1000,UPI,50.0
Teja Wines – Ongole,Ongole,2025-11-08,Rum,Bacardi,1.0,500,Cash,55.0
Teja Wines – Kothapatnam,Kothapatnam,2025-12-10,Wine,Bacardi,,1000,UPI,47.0
Teja Wines – Kothapatnam,Kothapatnam,2025-10-26,Whisky,Bacardi,1.0,500,Card,48.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-11-26,Wine,Bacardi,10.0,90,UPI,30.0
Teja Wines – Ongole,Ongole,2025-10-30,Wine,Smirnoff,,90,Cash,61.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-10-17,Vodka,Kingfisher,2.0,300,,64.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-11-07,Brandy,Kingfisher,4.0,300,Card,35.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-12-19,Vodka,Signature,,500,Card,62.0
Teja Wines – Kothapatnam,Kothapatnam,2025-11-14,Beer,Kingfisher,10.0,1000,Card,40.0
Teja Wines – Kothapatnam,Kothapatnam,2025-08-15,Beer,McDowell's,4.0,300,,61.0
Teja Wines – Kothapatnam,Kothapatnam,2025-08-04,Whisky,,10.0,180,Card,27.0
Teja Wines – SN Padu,SN Padu,2025-11-08,Rum,Kingfisher,3.0,500,Card,53.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-10-20,Rum,,10.0,500,,56.0
Teja Wines – Kothapatnam,Kothapatnam,2025-12-06,Whisky,Royal Stag,,750,,32.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-08-25,Whisky,Kingfisher,1.0,300,UPI,33.0
Teja Wines – Ongole,Ongole,2025-09-26,Wine,,5.0,220,UPI,42.0
Teja Wines – Kothapatnam,Kothapatnam,2025-08-02,Beer,Bacardi,1.0,120,Cash,52.0
Teja Wines – Ongole,Ongole,2025-10-05,Whisky,Signature,1.0,180,Cash,63.0
Teja Wines – SN Padu,SN Padu,2025-07-10,Beer,Royal Stag,,500,Card,20.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-10-31,Beer,Signature,5.0,220,,59.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-09-27,Beer,Signature,2.0,180,,56.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-08-28,Vodka,Kingfisher,4.0,1000,Card,42.0
Teja Wines – SN Padu,SN Padu,2025-12-10,Brandy,Smirnoff,4.0,300,UPI,20.0
Teja Wines – Kothapatnam,Kothapatnam,2025-10-02,Whisky,Smirnoff,1.0,150,,22.0
Teja Wines – SN Padu,SN Padu,2025-09-15,Vodka,McDowell's,10.0,500,,29.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-08-29,Brandy,Signature,2.0,1000,,60.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-07-16,Whisky,Smirnoff,3.0,750,Cash,28.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-09-21,Rum,Signature,20.0,500,Cash,50.0
Teja Wines – Kothapatnam,Kothapatnam,2025-10-22,Rum,McDowell's,3.0,150,,32.0
Teja Wines – Ongole,Ongole,2025-08-02,Wine,McDowell's,4.0,300,Card,32.0
Teja Wines – Kothapatnam,Kothapatnam,2025-11-27,Wine,Bacardi,10.0,180,Card,
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-07-03,Brandy,Signature,2.0,90,Card,20.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-10-11,Whisky,Smirnoff,4.0,300,UPI,32.0
Teja Wines – Kothapatnam,Kothapatnam,2025-12-13,Wine,Kingfisher,20.0,180,,51.0
Teja Wines – Kothapatnam,Kothapatnam,2025-08-15,Vodka,Signature,5.0,1000,Cash,26.0
Teja Wines – Ongole,Ongole,2025-12-10,Vodka,,1.0,220,Card,64.0
Teja Wines – SN Padu,SN Padu,2025-11-18,Brandy,McDowell's,2.0,90,UPI,27.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-11-19,Rum,Bacardi,4.0,120,,43.0
Teja Wines – Ongole,Ongole,2025-10-04,Beer,Royal Stag,3.0,180,Cash,44.0
Teja Wines – SN Padu,SN Padu,2025-12-27,Wine,Smirnoff,5.0,300,Card,63.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-09-03,Rum,Kingfisher,1.0,500,Card,31.0
Teja Wines – Kothapatnam,Kothapatnam,2025-07-27,Beer,McDowell's,4.0,1000,Card,32.0
Teja Wines – Kothapatnam,Kothapatnam,2025-12-04,Beer,,3.0,180,,44.0
Teja Wines – Ongole,Ongole,2025-09-06,Brandy,,20.0,220,Cash,55.0
Teja Wines – Ongole,Ongole,2025-11-30,Brandy,Kingfisher,,150,Card,61.0
Teja Wines – Kothapatnam,Kothapatnam,2025-09-01,Whisky,,4.0,150,UPI,47.0
Teja Wines – SN Padu,SN Padu,2025-09-10,Whisky,Smirnoff,2.0,1000,,23.0
Teja Wines – SN Padu,SN Padu,2025-09-22,Beer,McDowell's,10.0,120,Card,64.0
Teja Wines – SN Padu,SN Padu,2025-07-10,Wine,Kingfisher,,180,Cash,29.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-08-16,Beer,Smirnoff,4.0,750,Card,18.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-10-05,Wine,,10.0,180,,28.0
Teja Wines – Ongole,Ongole,2025-10-20,Wine,Kingfisher,20.0,1000,UPI,46.0
Teja Wines – SN Padu,SN Padu,2025-07-06,Beer,McDowell's,,500,Card,41.0
Teja Wines – Ongole,Ongole,2025-12-11,Rum,Royal Stag,2.0,90,,33.0
Teja Wines – Kothapatnam,Kothapatnam,2025-12-13,Rum,Signature,4.0,220,UPI,39.0
Teja Wines – SN Padu,SN Padu,2025-07-07,Beer,Bacardi,3.0,750,,26.0
Teja Wines – SN Padu,SN Padu,2025-11-04,Rum,Royal Stag,20.0,180,Card,47.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-09-03,Vodka,Signature,2.0,120,UPI,28.0
Teja Wines – Kothapatnam,Kothapatnam,2025-12-03,Whisky,Signature,5.0,500,Card,43.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-07-24,Rum,Smirnoff,5.0,300,Card,50.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-11-26,Beer,Bacardi,5.0,180,Cash,46.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-07-27,Brandy,Signature,1.0,220,,56.0
Teja Wines – Ongole,Ongole,2025-09-06,Rum,Signature,3.0,150,Cash,57.0
Teja Wines – SN Padu,SN Padu,2025-11-04,Rum,McDowell's,5.0,300,UPI,18.0
Teja Wines – Kothapatnam,Kothapatnam,2025-10-27,Whisky,Signature,,750,UPI,45.0
Teja Wines – Ongole,Ongole,2025-12-13,Beer,Royal Stag,10.0,180,Cash,50.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-08-24,Wine,Smirnoff,20.0,1000,Card,44.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-09-14,Brandy,Kingfisher,10.0,180,Card,62.0
Teja Wines – Kothapatnam,Kothapatnam,2025-07-09,Whisky,McDowell's,1.0,220,UPI,53.0
Teja Wines – Kothapatnam,Kothapatnam,2025-08-05,Whisky,Royal Stag,3.0,90,Cash,48.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-08-28,Wine,Bacardi,2.0,300,,61.0
Teja Wines – SN Padu,SN Padu,2025-11-21,Beer,Signature,,120,Card,35.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-11-20,Brandy,Royal Stag,4.0,90,Cash,18.0
Teja Wines – Ongole,Ongole,2025-11-06,Wine,McDowell's,20.0,220,Cash,29.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-10-25,Beer,Signature,3.0,1000,Card,26.0
Teja Wines – Kothapatnam,Kothapatnam,2025-09-22,Brandy,,20.0,220,,19.0
Teja Wines – SN Padu,SN Padu,2025-12-06,Brandy,Royal Stag,3.0,220,Card,32.0
Teja Wines – Kothapatnam,Kothapatnam,2025-09-18,Wine,Royal Stag,3.0,300,Card,54.0
Teja Wines – Ongole,Ongole,2025-11-04,Rum,McDowell's,4.0,150,,56.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-07-03,Rum,Kingfisher,4.0,300,,26.0
Teja Wines – Ongole,Ongole,2025-11-13,Brandy,McDowell's,10.0,220,,29.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-10-21,Wine,McDowell's,10.0,90,UPI,23.0
Teja Wines – Kothapatnam,Kothapatnam,2025-11-06,Beer,Kingfisher,1.0,180,,26.0
Teja Wines – SN Padu,SN Padu,2025-11-18,Beer,Smirnoff,20.0,300,,21.0
Teja Wines – SN Padu,SN Padu,2025-12-16,Brandy,Kingfisher,10.0,500,Card,64.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-08-31,Beer,Signature,3.0,120,UPI,60.0
Teja Wines – Kothapatnam,Kothapatnam,2025-12-23,Beer,Kingfisher,5.0,500,Card,18.0
Teja Wines – SN Padu,SN Padu,2025-08-11,Beer,McDowell's,,120,,22.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-11-23,Wine,Bacardi,10.0,90,UPI,38.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-07-06,Wine,McDowell's,5.0,1000,Card,52.0
Teja Wines – Ongole,Ongole,2025-11-19,Vodka,Kingfisher,10.0,750,,63.0
Teja Wines – SN Padu,SN Padu,2025-09-05,Wine,Signature,1.0,120,Card,18.0
Teja Wines – Kothapatnam,Kothapatnam,2025-10-09,Rum,Kingfisher,10.0,180,,34.0
Teja Wines – Kothapatnam,Kothapatnam,2025-08-25,Vodka,Bacardi,,750,UPI,23.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-11-01,Beer,Royal Stag,10.0,1000,,19.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-12-01,Brandy,Bacardi,1.0,1000,UPI,39.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-08-19,Wine,Kingfisher,10.0,1000,Cash,37.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-07-03,Wine,Signature,1.0,750,Cash,58.0
Teja Wines – Ongole,Ongole,2025-10-16,Wine,Signature,,120,Card,54.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-08-13,Rum,Kingfisher,20.0,300,Card,28.0
Teja Wines – SN Padu,SN Padu,2025-07-14,Vodka,Smirnoff,4.0,180,UPI,38.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-07-16,Rum,Smirnoff,20.0,750,Card,18.0
Teja Wines – Ongole,Ongole,2025-08-30,Wine,Signature,4.0,150,UPI,51.0
